size, 100000000, 8.46ms, 0.203ms, 7.71ms, 
size, 200000000, 16.8ms, 0.291ms, 15.5ms, 
size, 300000000, 25.1ms, 0.381ms, 23ms, 
size, 400000000, 33.5ms, 0.453ms, 30.5ms, 
size, 500000000, 41.9ms, 0.325ms, 38.2ms, 
size, 600000000, 50.4ms, 0.372ms, 45.8ms, 
size, 700000000, 58.7ms, 0.31ms, 53.5ms, 
size, 800000000, 67.1ms, 0.292ms, 61ms, 
size, 900000000, 75.5ms, 0.307ms, 68.5ms, 
size, 1000000000, 83.9ms, 0.335ms, 76.4ms, 
size, 1100000000, 92.1ms, 0.359ms, 83.8ms, 
size, 1200000000, 100ms, 0.38ms, 91.4ms, 
size, 1300000000, 108ms, 0.406ms, 99.1ms, 
size, 1400000000, 117ms, 0.428ms, 107ms, 
size, 1500000000, 126ms, 0.451ms, 114ms, 
size, 1600000000, 134ms, 0.47ms, 122ms, 
size, 1700000000, 142ms, 0.489ms, 129ms, 
size, 1800000000, 150ms, 0.483ms, 137ms, 
size, 1900000000, 159ms, 0.501ms, 145ms, 
size, 2000000000, 168ms, 0.53ms, 153ms, 
size, 2100000000, 176ms, 0.57ms, 160ms, 
size, 2200000000, 184ms, 0.55ms, 167ms, 
size, 2300000000, 192ms, 0.569ms, 175ms, 
size, 2400000000, 201ms, 0.589ms, 183ms, 
size, 2500000000, 209ms, 0.598ms, 190ms, 
size, 2600000000, 217ms, 0.613ms, 198ms, 
size, 2700000000, 226ms, 0.63ms, 206ms, 
size, 2800000000, 234ms, 0.647ms, 213ms, 
size, 2900000000, 243ms, 0.666ms, 222ms, 
size, 3000000000, 251ms, 0.705ms, 229ms, 
size, 3100000000, 259ms, 0.698ms, 236ms, 
size, 3200000000, 267ms, 0.728ms, 244ms, 
size, 3300000000, 276ms, 0.745ms, 251ms, 
size, 3400000000, 284ms, 0.76ms, 259ms, 
size, 3500000000, 292ms, 0.781ms, 266ms, 
size, 3600000000, 301ms, 0.795ms, 274ms, 
size, 3700000000, 309ms, 0.813ms, 282ms, 
size, 3800000000, 316ms, 0.818ms, 289ms, 
size, 3900000000, 326ms, 0.834ms, 297ms, 
size, 4000000000, 334ms, 0.847ms, 304ms, 
size, 4100000000, 343ms, 0.867ms, 312ms, 
size, 4200000000, 